,Artist,Title
0,BTS,Butter
1,Olivia Rodrigo,Good 4 U
2,Dua Lipa Featuring DaBaby,Levitating
3,Doja Cat Featuring SZA,Kiss Me More
4,Lil Nas X,Montero (Call Me By Your Name)
5,Ed Sheeran,Bad Habits
6,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
7,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
8,The Weeknd & Ariana Grande,Save Your Tears
9,Olivia Rodrigo,Deja Vu
10,Masked Wolf,Astronaut In The Ocean
11,Polo G,Rapstar
12,Doja Cat & The Weeknd,You Right
13,Aaron Lewis,Am I The Only One
14,The Weeknd,Blinding Lights
15,The Kid LAROI,Without You
16,Megan Thee Stallion,Thot Shit
17,Luke Combs,Forever After All
18,Giveon,Heartbreak Anniversary
19,Walker Hayes,Fancy Like
20,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get
21,Chris Young + Kane Brown,Famous Friends
22,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes
23,Saweetie Featuring Doja Cat,Best Friend
24,Nelly & Florida Georgia Line,Lil Bit
25,Cole Swindell,Single Saturday Night
26,Glass Animals,Heat Waves
27,Marshmello X Jonas Brothers,Leave Before You Love Me
28,Drake Featuring Lil Baby,Wants And Needs
29,Bad Bunny,Yonaguni
30,Jason Aldean,Blame It On You
31,Roddy Ricch,Late At Night
32,Olivia Rodrigo,Drivers License
33,Kali Uchis,Telepatia
34,Dan + Shay,Glad You Exist
35,24kGoldn Featuring iann dior,Mood
36,Moneybagg Yo,Wockesha
37,Olivia Rodrigo,Traitor
38,Rauw Alejandro,Todo de Ti
39,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.
40,Doja Cat,Ain't Shit
41,Ariana Grande,pov
42,Machine Gun Kelly X blackbear,My Ex's Best Friend
43,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",WUSYANAME
44,Lil Tjay Featuring 6LACK,Calling My Phone
45,Maneskin,Beggin'
46,DaBaby,Ball If I Want To
47,Dierks Bentley,Gone
48,Brent Faiyaz Featuring Drake,Wasting Time
49,DaBaby,Red Light Green Light
50,Lainey Wilson,Things A Man Oughta Know
51,Olivia Rodrigo,Favorite Crime
52,Miranda Lambert,Settling Down
53,AJR,Way Less Sad
54,Migos,Straightenin
55,Young Thug & Gunna,Ski
56,Nio Garcia X J Balvin X Bad Bunny,AM
57,Duncan Laurence,Arcade
58,Olivia Rodrigo,Happier
59,Regard x Troye Sivan x Tate McRae,You
60,"J. Cole, 21 Savage & Morray",my.life
61,Ryan Hurd With Maren Morris,Chasing After You
62,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
63,Doja Cat,Need To Know
64,Mooski,Track Star
65,Keith Urban Duet With P!nk,One Too Many
66,"Lil Baby, Lil Durk & Travis Scott",Hats Off
67,Olivia Rodrigo,Brutal
68,Bella Poarch,Build A Bitch
69,Sam Hunt,Breaking Up Was Easy In The 90's
70,Thomas Rhett,Country Again
71,"Los Legendarios, Wisin & Jhay Cortez",Fiel
72,Big Red Machine Featuring Taylor Swift,Renegade
73,Luke Bryan,Waves
74,Justin Moore,We Didn't Have Much
75,Blake Shelton,Minimum Wage
76,Imagine Dragons,Follow You
77,Olivia Rodrigo,"Jealousy, Jealousy"
78,H.E.R. Featuring Chris Brown,Come Through
79,City Girls,Twerkulator
80,G Herbo Featuring Polo G & Lil Tjay,Cry No More
81,Wizkid Featuring Tems,Essence
82,Tai Verdes,A-O-K
83,42 Dugg & Roddy Ricch,4 Da Gang
84,Rod Wave,Tombstone
85,Jake Owen,Made For You
86,Migos Featuring Drake,Having Our Way
87,Elvie Shane,My Boy
88,Willow Featuring Travis Barker,transparentsoul
89,Chris Stapleton,You Should Probably Leave
90,Old Dominion,I Was On A Boat That Day
91,MO3 X OG Bobby Billions,Outside
92,Tate McRae X Khalid,Working
93,Trippie Redd & Playboi Carti,Miss The Rage
94,Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name
95,P!nk,All I Know So Far
96,Drake,What's Next
97,Olivia Rodrigo,Enough For You
98,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",Juggernaut
99,Cochise & $NOT,Tell Em
