,date,cod_ine,region,total
0,2020-03-04,1,Andalucía,0
1,2020-03-05,1,Andalucía,0
2,2020-03-06,1,Andalucía,0
3,2020-03-07,1,Andalucía,0
4,2020-03-08,1,Andalucía,0
5,2020-03-09,1,Andalucía,0
6,2020-03-10,1,Andalucía,0
7,2020-03-11,1,Andalucía,0
8,2020-03-12,1,Andalucía,0
9,2020-03-13,1,Andalucía,0
10,2020-03-14,1,Andalucía,2
11,2020-03-15,1,Andalucía,6
12,2020-03-16,1,Andalucía,7
13,2020-03-17,1,Andalucía,11
14,2020-03-18,1,Andalucía,19
15,2020-03-19,1,Andalucía,23
16,2020-03-20,1,Andalucía,30
17,2020-03-21,1,Andalucía,40
18,2020-03-22,1,Andalucía,47
19,2020-03-23,1,Andalucía,58
20,2020-03-24,1,Andalucía,87
21,2020-03-25,1,Andalucía,113
22,2020-03-26,1,Andalucía,134
23,2020-03-27,1,Andalucía,144
24,2020-03-28,1,Andalucía,175
25,2020-03-29,1,Andalucía,207
26,2020-03-30,1,Andalucía,236
27,2020-03-31,1,Andalucía,248
28,2020-04-01,1,Andalucía,308
29,2020-04-02,1,Andalucía,343
30,2020-04-03,1,Andalucía,376
31,2020-04-04,1,Andalucía,426
32,2020-04-05,1,Andalucía,470
33,2020-04-06,1,Andalucía,491
34,2020-04-07,1,Andalucía,528
35,2020-04-08,1,Andalucía,605
36,2020-04-09,1,Andalucía,652
37,2020-04-10,1,Andalucía,691
38,2020-04-11,1,Andalucía,737
39,2020-04-12,1,Andalucía,799
40,2020-04-13,1,Andalucía,815
41,2020-04-14,1,Andalucía,836
42,2020-04-15,1,Andalucía,865
43,2020-04-16,1,Andalucía,912
44,2020-04-17,1,Andalucía,940
45,2020-04-18,1,Andalucía,967
46,2020-04-19,1,Andalucía,993
47,2020-04-20,1,Andalucía,1013
48,2020-04-21,1,Andalucía,1017
49,2020-04-22,1,Andalucía,1050
50,2020-04-23,1,Andalucía,1079
51,2020-04-24,1,Andalucía,1107
52,2020-04-25,1,Andalucía,1131
53,2020-04-26,1,Andalucía,1145
54,2020-04-27,1,Andalucía,1157
55,2020-04-28,1,Andalucía,1168
56,2020-04-29,1,Andalucía,1188
57,2020-04-30,1,Andalucía,1207
58,2020-05-01,1,Andalucía,1238
59,2020-05-02,1,Andalucía,1253
60,2020-05-03,1,Andalucía,1256
61,2020-05-04,1,Andalucía,1263
62,2020-05-05,1,Andalucía,1267
63,2020-05-06,1,Andalucía,1281
64,2020-05-07,1,Andalucía,1294
65,2020-05-08,1,Andalucía,1301
66,2020-05-09,1,Andalucía,1317
67,2020-05-10,1,Andalucía,1320
68,2020-05-11,1,Andalucía,1322
69,2020-05-12,1,Andalucía,1326
70,2020-05-13,1,Andalucía,1332
71,2020-05-14,1,Andalucía,1336
72,2020-05-15,1,Andalucía,1344
73,2020-05-16,1,Andalucía,1355
74,2020-05-17,1,Andalucía,1358
75,2020-05-18,1,Andalucía,1358
76,2020-05-19,1,Andalucía,1367
77,2020-05-20,1,Andalucía,1371
78,2020-05-21,1,Andalucía,1375
79,2020-05-22,1,Andalucía,1377
80,2020-05-23,1,Andalucía,1389
81,2020-05-24,1,Andalucía,1391
82,2020-03-04,2,Aragón,0
83,2020-03-05,2,Aragón,0
84,2020-03-06,2,Aragón,1
85,2020-03-07,2,Aragón,1
86,2020-03-08,2,Aragón,2
87,2020-03-09,2,Aragón,3
88,2020-03-10,2,Aragón,4
89,2020-03-11,2,Aragón,4
90,2020-03-12,2,Aragón,6
91,2020-03-13,2,Aragón,7
92,2020-03-14,2,Aragón,7
93,2020-03-15,2,Aragón,7
94,2020-03-16,2,Aragón,11
95,2020-03-17,2,Aragón,12
96,2020-03-18,2,Aragón,13
97,2020-03-19,2,Aragón,15
98,2020-03-20,2,Aragón,17
99,2020-03-21,2,Aragón,22
100,2020-03-22,2,Aragón,24
101,2020-03-23,2,Aragón,32
102,2020-03-24,2,Aragón,37
103,2020-03-25,2,Aragón,40
104,2020-03-26,2,Aragón,48
105,2020-03-27,2,Aragón,58
106,2020-03-28,2,Aragón,93
107,2020-03-29,2,Aragón,104
108,2020-03-30,2,Aragón,106
109,2020-03-31,2,Aragón,138
110,2020-04-01,2,Aragón,169
111,2020-04-02,2,Aragón,200
112,2020-04-03,2,Aragón,224
113,2020-04-04,2,Aragón,251
114,2020-04-05,2,Aragón,270
115,2020-04-06,2,Aragón,284
116,2020-04-07,2,Aragón,312
117,2020-04-08,2,Aragón,349
118,2020-04-09,2,Aragón,385
119,2020-04-10,2,Aragón,409
120,2020-04-11,2,Aragón,425
121,2020-04-12,2,Aragón,450
122,2020-04-13,2,Aragón,464
123,2020-04-14,2,Aragón,492
124,2020-04-15,2,Aragón,514
125,2020-04-16,2,Aragón,543
126,2020-04-17,2,Aragón,562
127,2020-04-18,2,Aragón,601
128,2020-04-19,2,Aragón,619
129,2020-04-20,2,Aragón,637
130,2020-04-21,2,Aragón,643
131,2020-04-22,2,Aragón,656
132,2020-04-23,2,Aragón,681
133,2020-04-24,2,Aragón,695
134,2020-04-25,2,Aragón,709
135,2020-04-26,2,Aragón,712
136,2020-04-27,2,Aragón,726
137,2020-04-28,2,Aragón,735
138,2020-04-29,2,Aragón,736
139,2020-04-30,2,Aragón,739
140,2020-05-01,2,Aragón,749
141,2020-05-02,2,Aragón,761
142,2020-05-03,2,Aragón,761
143,2020-05-04,2,Aragón,762
144,2020-05-05,2,Aragón,770
145,2020-05-06,2,Aragón,788
146,2020-05-07,2,Aragón,800
147,2020-05-08,2,Aragón,815
148,2020-05-09,2,Aragón,823
149,2020-05-10,2,Aragón,824
150,2020-05-11,2,Aragón,825
151,2020-05-12,2,Aragón,828
152,2020-05-13,2,Aragón,829
153,2020-05-14,2,Aragón,836
154,2020-05-15,2,Aragón,837
155,2020-05-16,2,Aragón,838
156,2020-05-17,2,Aragón,838
157,2020-05-18,2,Aragón,838
158,2020-05-19,2,Aragón,843
159,2020-05-20,2,Aragón,847
160,2020-05-21,2,Aragón,848
161,2020-05-22,2,Aragón,858
162,2020-05-23,2,Aragón,858
163,2020-05-24,2,Aragón,858
164,2020-03-04,3,Asturias,0
165,2020-03-05,3,Asturias,0
166,2020-03-06,3,Asturias,0
167,2020-03-07,3,Asturias,0
168,2020-03-08,3,Asturias,0
169,2020-03-09,3,Asturias,0
170,2020-03-10,3,Asturias,0
171,2020-03-11,3,Asturias,0
172,2020-03-12,3,Asturias,0
173,2020-03-13,3,Asturias,1
174,2020-03-14,3,Asturias,2
175,2020-03-15,3,Asturias,2
176,2020-03-16,3,Asturias,2
177,2020-03-17,3,Asturias,2
178,2020-03-18,3,Asturias,2
179,2020-03-19,3,Asturias,2
180,2020-03-20,3,Asturias,4
181,2020-03-21,3,Asturias,7
182,2020-03-22,3,Asturias,12
183,2020-03-23,3,Asturias,22
184,2020-03-24,3,Asturias,26
185,2020-03-25,3,Asturias,29
186,2020-03-26,3,Asturias,29
187,2020-03-27,3,Asturias,39
188,2020-03-28,3,Asturias,44
189,2020-03-29,3,Asturias,47
190,2020-03-30,3,Asturias,59
191,2020-03-31,3,Asturias,66
192,2020-04-01,3,Asturias,75
193,2020-04-02,3,Asturias,76
194,2020-04-03,3,Asturias,80
195,2020-04-04,3,Asturias,83
196,2020-04-05,3,Asturias,87
197,2020-04-06,3,Asturias,93
198,2020-04-07,3,Asturias,101
199,2020-04-08,3,Asturias,107
200,2020-04-09,3,Asturias,113
201,2020-04-10,3,Asturias,129
202,2020-04-11,3,Asturias,134
203,2020-04-12,3,Asturias,150
204,2020-04-13,3,Asturias,157
205,2020-04-14,3,Asturias,165
206,2020-04-15,3,Asturias,172
207,2020-04-16,3,Asturias,176
208,2020-04-17,3,Asturias,186
209,2020-04-18,3,Asturias,190
210,2020-04-19,3,Asturias,197
