position,company,reviews,clean_position,city,state,python,statistics,mathematics,java,sql,excel,modeling,c++,r,visualization,ml,ai,has_phd,has_bachelor,has_master
Development Director,ALS TDI,0.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
An Ostentatiously-Excitable Principal Research Assistant to Chief Scientist,The Hexagon Lavish,0.0,data scientist,Atlanta,GA,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True
Data Scientist,Xpert Staffing,0.0,data scientist,Atlanta,GA,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True
Data Analyst,Operation HOPE,44.0,data analyst,Atlanta,GA,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False
Assistant Professor -TT - Signal Processing & Machine Learning,Emory University,550.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Manager of Data Engineering,McKinsey & Company,385.0,data engineer,Atlanta,GA,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
"Product Specialist - Periscope, New Ventures",McKinsey & Company,385.0,other role,Atlanta,GA,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
"Junior to Mid-level Engineer, Geologist or Environmental Scientist",Wood,899.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Analyst - CIB Credit Research,SunTrust,3343.0,data analyst,Atlanta,GA,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,4494.0,data scientist,Atlanta,GA,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False
STATISTICAL FORECAST ANALYST,The Home Depot,38844.0,data analyst,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
Health Scientist III-CPTS,Chenega Corporation,390.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"Senior Associate, Data Scientist",KPMG,4494.0,data scientist,Atlanta,GA,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True
Assistant Scientist (AR) SOM,Emory University,550.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Business Intelligence Data Science Analyst - Supply Chain,Newell Brands,912.0,data scientist,Atlanta,GA,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
Data Scientist,Cotiviti,104.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False
Senior Structural Engineer-Transmission & Distribution,Burns & McDonnell,152.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Senior Mobile Developer (iOS/Android),Perficient,44.0,other role,Atlanta,GA,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Data Scientist,Relus Cloud,0.0,data scientist,Atlanta,GA,True,True,True,False,True,False,False,False,True,True,True,False,False,True,True
Data Scientist,Inspire Brands,0.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,True,False,True
Senior Electrical Engineer,Burns & McDonnell,152.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Sr. Manager, Full Stack Development, KPMG Tax Ignition",KPMG,4494.0,other role,Atlanta,GA,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True
Data Scientist,Norfolk Southern Corp,722.0,data scientist,Atlanta,GA,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False
DATA SCIENTIST - Supply Chain,The Home Depot,38844.0,data scientist,Atlanta,GA,True,True,False,True,True,False,False,True,False,False,True,False,False,True,False
"Data Scientist, Keying & Linking",Equifax,447.0,data scientist,Atlanta,GA,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True
Data Scientist,AirSage,0.0,data scientist,Atlanta,GA,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False
Data Scientist 1 – AP Forensics Team,The Home Depot,0.0,data scientist,Atlanta,GA,True,True,False,False,False,False,True,False,False,True,True,False,False,True,True
Data Scientist - ICL,Georgia Tech Research Institute,496.0,data scientist,Atlanta,GA,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False
"Data Scientist, Online",The Home Depot,38844.0,data scientist,Atlanta,GA,False,True,False,False,True,False,True,False,True,False,True,True,True,False,True
Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate,Capgemini,5720.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True
Senior Data Scientist,Catalina Marketing,78.0,data scientist,Atlanta,GA,True,True,True,False,False,False,False,True,False,False,True,False,False,True,True
Business Intelligence Data Scientist - Supply Chain,Newell Brands,912.0,data scientist,Atlanta,GA,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
Entry Level/Junior-Level Scientist,"Kleinfelder, Inc.",92.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Scientist - Data Analysis,AMERICAN CANCER SOCIETY,959.0,data scientist,Atlanta,GA,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
Data Scientist,SalesLoft,7.0,data scientist,Atlanta,GA,True,True,True,False,True,False,False,False,False,False,True,False,True,False,True
Data Scientist,McKesson,3558.0,data scientist,Atlanta,GA,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
Data Scientist,The Intersect Group,29.0,data scientist,Atlanta,GA,True,True,True,False,False,False,True,False,False,True,True,False,False,False,True
Health Scientist,Centers for Disease Control and Prevention,350.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Data Scientist,OM Partners,0.0,data scientist,Atlanta,GA,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False
DATA SCIENTIST - SPACE OPTIMIZATION,The Home Depot,38844.0,data scientist,Atlanta,GA,True,True,False,True,True,False,True,False,False,False,True,False,False,False,True
"Data Science Specialist - Periscope, New Ventures",McKinsey & Company,385.0,data scientist,Atlanta,GA,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False
Senior Data Scientist,Cotiviti,104.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False
Manager - Data Scientist ! Orlando!,Capgemini,5720.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True
Scientist II,The Coca-Cola Company,7236.0,data scientist,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Lead Data Scientist,Norfolk Southern Corp,722.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,True,True,True,False,False,False,True
Senior Data Scientist,Norfolk Southern Corp,722.0,data scientist,Atlanta,GA,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True
"Data Scientist - Consultant Level - Orlando, Florida - we will assist with relocation",Capgemini,5720.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True
Flight Safety Data Analysis Fall Co-Op,Delta Air Lines,2963.0,other role,Atlanta,GA,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False
Chief Deep Learning Scientist,YIWEI Medical Inc.,0.0,data scientist,Atlanta,GA,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Supervisory Health Scientist,Centers for Disease Control and Prevention,350.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Manager - Cognitive Data Scientist Natural Language Processing,KPMG,4494.0,data scientist,Atlanta,GA,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False
"Director, Data Scientist",KPMG,4494.0,data scientist,Atlanta,GA,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True
"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,159.0,data scientist,Atlanta,GA,False,True,False,False,True,True,True,False,False,True,False,False,True,True,False
Statistical Analyst,Hawkins Diagnostics,0.0,data analyst,Atlanta,GA,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"VP, Data Analytics",TCGplayer,0.0,other role,Atlanta,GA,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
Lead Decision Scientist,"Moxie Interactive, Inc.",0.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,False,True,True
Scientist I - Sensory Panel Leader,The Coca-Cola Company,7236.0,data scientist,Atlanta,GA,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Data Scientist or Data Scientist Lead PS10268,"Anthem, Inc.",3182.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,True,True,False,True,False,False
Lead Decision Scientist,Moxie,347.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,False,True,True
Senior Cyber Security Data Scientist,Bank of America,21954.0,data scientist,Atlanta,GA,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False
Scientist II/Ecologist II,HNTB Corporation,127.0,data scientist,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
Data Engineer,Gallup,140.0,data engineer,Atlanta,GA,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True
"Manager, Data Scientist",KPMG,4494.0,data scientist,Atlanta,GA,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True
Machine Learning / Artificial Intelligence Research Scientist,Symantec,950.0,data scientist,Atlanta,GA,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Statistical Quantitative Analyst,SunTrust,3343.0,data analyst,Atlanta,GA,False,True,True,True,False,False,False,True,False,False,False,False,True,False,True
Research Scientist,MacDermid Inc.,0.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Environmental Scientist,Tetra Tech,260.0,data scientist,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
"Scientist, Asst Bioinformatics",Emory University,550.0,data scientist,Atlanta,GA,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False
Research Analyst,Evident,8.0,data analyst,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Scientist, Asst (AR) SOM",Emory Healthcare,1181.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
"Analyst, Research",Turner,375.0,data analyst,Atlanta,GA,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True
"Director, NLP Data Scientist",KPMG,4494.0,data scientist,Atlanta,GA,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True
Information Technology Specialist,Centers for Disease Control and Prevention,350.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantitative Analyst,GreenSky,26.0,data analyst,Atlanta,GA,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False
DATA ANALYST SUPPLY CHAIN,The Home Depot,38844.0,data analyst,Atlanta,GA,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
"Scientist, Asst (AR) SOM",Emory University,550.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Health Communications Specialist,Eagle Medical Services,15.0,other role,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
"Senior Associate, Data Scientist (NLP/AI)",KPMG,4494.0,data scientist,Atlanta,GA,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True
"Data Engineer - GC Insights, New Ventures",McKinsey & Company,385.0,data engineer,Atlanta,GA,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
"Technical Evangelist – Database, Analytics, and Machine Learning",Amazon.com,25907.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Sr Scientist II, Analytical Science",The Coca-Cola Company,7236.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Director of Data Science,Prestige Staffing,139.0,data scientist,Atlanta,GA,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True
HIV Research Scientist,Eagle Medical Services,15.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SI CoE IoT Data Modeling Architect,Xylem,257.0,other role,Atlanta,GA,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
Research Scientist,PreVisor,0.0,data scientist,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
"Azure Data Scientist, Manager",KPMG,4494.0,data scientist,Atlanta,GA,True,True,True,True,False,False,False,False,False,False,True,False,True,False,True
"Associate Scientist, SOM",Emory University,550.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
"Data Engineer, Scala",CapTech Consulting,14.0,data engineer,Atlanta,GA,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False
"Director, Financial Services - Data Scientist",KPMG,4494.0,data scientist,Atlanta,GA,True,True,True,True,True,False,True,False,False,True,True,False,True,False,True
"Regulatory Labeling, Advertising and Promotion Scientist",UCB,206.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Data & Analytics Developer,SunTrust,3343.0,other role,Atlanta,GA,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Product Development Scientist,The Coca-Cola Company,7236.0,data scientist,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Research Scientist I,Georgia State University,658.0,data scientist,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
"Data Scientist - Senior Consultant - Orlando, Florida",Capgemini,5720.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True
Lead R & D Engineer/Scientist,Honeywell,6121.0,data scientist,Atlanta,GA,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True
Quantitative Finance Analyst,Bank of America,21954.0,data analyst,Atlanta,GA,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Advertiser Research Analyst,Cox Media Group,221.0,data analyst,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
"Manager, Data Scientist (ML/NLP) -- Financial Services",KPMG,4494.0,data scientist,Atlanta,GA,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True
Data Science Instructor,General Assembly,144.0,data scientist,Atlanta,GA,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False
Research Informatics Analyst,Emory University,550.0,data analyst,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Enterprise Data Analyst & Data Engineer,Novelis,189.0,data engineer,Atlanta,GA,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
Supply Chain Data Science Consultant,Accenture,14200.0,data scientist,Atlanta,GA,True,True,True,False,False,False,True,False,False,False,True,True,False,True,False
Public Health Communications Specialist,2M Research Services,2.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Communications Specialist,Loyal,10.0,other role,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
2018 - Health Research Analyst 2 - New,Northrop Grumman,4061.0,data analyst,Atlanta,GA,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
Business Intelligence Engineer,Amazon.com,25907.0,other role,Atlanta,GA,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
Staff Research Scientist VII: Informational Interpretation Researcher,The Hexagon Lavish,0.0,data scientist,Atlanta,GA,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
"Scientist, Asst (AR) School Of Medicine (SOM)",Emory University,550.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
"Entry Level Geologist, Engineer or Environmental Scientist",Wood,899.0,data scientist,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Regulatory Labeling, Advertising and Promotion Scientist",UCB S.A.,206.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Quantitative Analyst,Voya Financial,168.0,data analyst,Atlanta,GA,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
"Director, Data Scientist -- Financial Services/Insurance",KPMG,4494.0,data scientist,Atlanta,GA,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True
Supervisory Epidemiologist,Centers for Disease Control and Prevention,350.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Quantitative Finance Analyst/C++ Developer,Bank of America,21954.0,data analyst,Atlanta,GA,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False
Jr Microbiologist - CDC,G2S Corporation,0.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Azure Data Scientist, Senior Associate",KPMG,4494.0,data scientist,Atlanta,GA,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True
Research Analyst,"Epiq Systems, Inc.",131.0,data analyst,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Coding Research Analyst,Zelis Healthcare,21.0,data analyst,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Data Science Manager- Atlanta,Capgemini,5720.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,True,False,True
Quantitative Analyst,Intercontinental Exchange,57.0,data analyst,Atlanta,GA,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True
Data Visualization Software Engineer,KPMG,4494.0,software engineer,Atlanta,GA,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
"Business Intelligence Analyst, People Analytics & Measurement",McKinsey & Company,385.0,data analyst,Atlanta,GA,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
Mid Data Scientist - Machine Learning,Elev8 Hire Solutions,0.0,data scientist,Atlanta,GA,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False
Vendor Research Analyst,Northside Hospital,838.0,data analyst,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Big Data SW Engineer,KPMG,4494.0,other role,Atlanta,GA,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True
"Senior Scientist, Content Science","Pandora Media, Inc.",33.0,data scientist,Atlanta,GA,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False
Sponsored Research Financial Analyst,Emory University,550.0,data analyst,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
